id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
227973,CraftyDucks,2010-10-13,,https://www.mobygames.com/game/227973/craftyducks/,"iPhone, iPad","Educational, Top-down, Math / logic, Licensed, Fixed / flip-screen, Tile matching puzzle, Point and select",Kaio Interactive LLC,Kaio Interactive LLC
137039,Crayola Create and Play,2018-10-09,,https://www.mobygames.com/game/137039/crayola-create-and-play/,"iPad, Android, iPhone","Educational, Pre-school / toddler, Fantasy, Licensed, 3rd-person (Other), Fixed / flip-screen, Point and select","RED Games Co, LLC","Crayola, LLC"
137038,Crayola Scribble Scrubbie Pets,2019-10-18,,https://www.mobygames.com/game/137038/crayola-scribble-scrubbie-pets/,"Android, iPad, iPhone","Educational, Pre-school / toddler, Fantasy, Licensed, 3rd-person (Other), Fixed / flip-screen, Point and select","RED Games Co, LLC","Crayola, LLC"
136222,Creature Garden,2017-06-12,,https://www.mobygames.com/game/136222/creature-garden/,"iPad, iPhone","Educational, Pre-school / toddler, Fantasy, Fixed / flip-screen, Point and select",Tinybop Inc.,Tinybop Inc.
168285,Cuccchi,2021-07-30,,https://www.mobygames.com/game/168285/cuccchi/,"Nintendo Switch, Xbox One, Android, iPad, Xbox Series, Macintosh, PlayStation 4, iPhone, Windows","Adventure, 1st-person, Educational, Graphics / art, Direct control",Eremo,Fantastico Studio srl
204711,Cyberchase 3D Builder,2012-10-25,,https://www.mobygames.com/game/204711/cyberchase-3d-builder/,"Android, iPad","1st-person, Educational, Real-time, Math / logic, Fantasy, Licensed, Puzzle, Fixed / flip-screen, Point and select, Contemporary",PBS Kids,PBS Kids
106031,Cyberchase Shape Quest,2014-01-09,,https://www.mobygames.com/game/106031/cyberchase-shape-quest/,iPad,"Educational, Math / logic, Licensed, 3rd-person (Other)",,PBS Kids
223428,Cyphers Game,2022-04-21,,https://www.mobygames.com/game/223428/cyphers-game/,"Windows, iPhone, iPad","Adventure, 1st-person, Educational, Real-time, Puzzle elements, History, Spy / espionage, Stealth, War, Free camera, Direct control","Chronospace Sp. z o.o., Instytut Pamięci Narodowej",Instytut Pamięci Narodowej
191739,Danger Days,2020-06-25,,https://www.mobygames.com/game/191739/danger-days/,"Android, iPad, iPhone","Action, Educational, 3rd-person (Other), Fixed / flip-screen, Mini-games, Point and select",Mighty Kingdom Pty Ltd,Australian Red Cross Society
66799,Deep Sea!,2014-07-01,,https://www.mobygames.com/game/66799/deep-sea/,"iPhone, iPad","Simulation, Educational, Ecology / nature",Pure Digital Magic,Pure Digital Magic
45195,Depict,2009-12-16,,https://www.mobygames.com/game/45195/depict/,iPhone,"Educational, Puzzle elements, Graphics / art, 3rd-person (Other)",Makeshift Games,Makeshift Games
130020,Dewey Does,2019-05-21,,https://www.mobygames.com/game/130020/dewey-does/,"Android, iPad, iPhone","Educational, Puzzle elements, Math / logic, Pre-school / toddler, Fantasy, Fixed / flip-screen, Point and select",Dewey Does Inc.,Dewey Does Inc.
121849,Dig Quest: Israel,2014-11-20,,https://www.mobygames.com/game/121849/dig-quest-israel/,"iPhone, iPad","Educational, Game show / trivia / quiz, History, Puzzle, Fixed / flip-screen, Mini-games, Point and select, Middle East",Crater House LLC,"The Friends of the Israel Antiquities Authority, Inc."
106027,Dino Dan: Trek's Adventures,2014-01-31,,https://www.mobygames.com/game/106027/dino-dan-treks-adventures/,iPad,"Adventure, Educational, Licensed, Hidden object, 3rd-person (Other)",Sinking Ship Interactive,Sinking Ship Interactive
225442,Dino Dino,2021-04-13,,https://www.mobygames.com/game/225442/dino-dino/,"Windows, iPhone, iPad, Android","Educational, History, Ecology / nature, Science, Hidden object, 3rd-person (Other), Fixed / flip-screen, Mini-games, Point and select, Prehistoric",btf GmbH,"Ahoiii Entertainment UG, btf GmbH"
104961,Dino World,2011-12-11,,https://www.mobygames.com/game/104961/dino-world/,"iPad, iPhone","Educational, Top-down, Pre-school / toddler, Puzzle, Fixed / flip-screen, Direct control, Prehistoric",winterworks GmbH,winterworks GmbH
169048,Dinosaur Puzzle,2013-07-02,,https://www.mobygames.com/game/169048/dinosaur-puzzle/,"Android, iPad, Nintendo Switch, iPhone","Educational, Top-down, History, Ecology / nature, Puzzle, Fixed / flip-screen, Point and select",Happymeal Inc.,"Happymeal Inc., LLC Shinyuden"
92840,Dinox,2013-12-16,,https://www.mobygames.com/game/92840/dinox/,"Wii U, iPhone, iPad","Educational, Ecology / nature, Prehistoric",Codix Games B.V.,"Codix Games B.V., Engine Software B.V."
141930,Dish Life: The Game,2020-02-25,,https://www.mobygames.com/game/141930/dish-life-the-game/,"iPad, Android, Windows, iPhone","Simulation, Educational, Science, Point and select, Menu structures",Pocket Sized Hands Ltd.,"ReproSoc, Pocket Sized Hands Ltd., University of Cambridge"
163236,Do I Have a Right?,2010-01-01,,https://www.mobygames.com/game/163236/do-i-have-a-right/,"Android, iPad, Browser","Simulation, Educational, Real-time, Isometric, Managerial / business simulation, Sociology, 3rd-person (Other), Point and select, Contemporary, North America","Filament Games, LLC","iCivics, Inc."
208139,Dot's Home,2021-10-22,,https://www.mobygames.com/game/208139/dots-home/,"iPad, Android, Macintosh, Windows, iPhone","Adventure, Educational, Side view, Sociology, 2D scrolling, Graphic adventure, Direct control, Contemporary, North America","Weathered Sweater, Titan ARX Interactive",Rise-Home Stories Project
224623,Double Money,2022-05-13,,https://www.mobygames.com/game/224623/double-money/,"Android, iPad, iPhone, visionOS","1st-person, Educational, Cards / tiles, Math / logic, Puzzle, Gambling elements",Voodoo SAS,Voodoo SAS
221401,Dr. Panda Airport,2013-08-07,,https://www.mobygames.com/game/221401/dr-panda-airport/,"iPhone, Android, iPad","Educational, Flight / aviation, 3rd-person (Other), 2D scrolling, Mini-games, Point and select, Contemporary",Dr. Panda Ltd,Dr. Panda Ltd
227798,Dr. Panda Candy Factory,2016-01-13,,https://www.mobygames.com/game/227798/dr-panda-candy-factory/,"Android, iPad, iPhone","Educational, Pre-school / toddler, 3rd-person (Other), Fixed / flip-screen, Mini-games, Point and select",Dr. Panda Ltd,Dr. Panda Ltd
227758,Dr. Panda Hospital,2012-06-15,,https://www.mobygames.com/game/227758/dr-panda-hospital/,"iPhone, iPad, Android","Educational, Side view, Meditative / Zen, Health / nutrition, 2D scrolling, Mini-games, Point and select",Dr. Panda Ltd,Dr. Panda Ltd
215262,Draakje Fosfor,2022-05-12,,https://www.mobygames.com/game/215262/draakje-fosfor/,"iPad, Android, iPhone","Adventure, 1st-person, Educational, Geography, History, Fantasy, Graphics / art, Point and select, Contemporary, Europe, Augmented reality",,"Pais App Ltd., OTONAKI"
96878,DragonBox,2012-05-10,,https://www.mobygames.com/game/96878/dragonbox/,"Android, Windows Apps, iPad, iPhone, Macintosh","Educational, Top-down, Math / logic, Fixed / flip-screen",WeWantToKnow AS,WeWantToKnow AS
96961,DragonBox,2013-04-23,,https://www.mobygames.com/game/96961/dragonbox/,"iPhone, iPad, Windows Apps, Android, Macintosh","Educational, Top-down, Math / logic",WeWantToKnow AS,WeWantToKnow AS
96958,DragonBox: Big Numbers,2016-11-06,,https://www.mobygames.com/game/96958/dragonbox-big-numbers/,"iPhone, Android, iPad","Educational, Math / logic, 3rd-person (Other), Fixed / flip-screen",WeWantToKnow AS,WeWantToKnow AS
96963,DragonBox: Elements - Geometry Proofs,2014-05-14,,https://www.mobygames.com/game/96963/dragonbox-elements-geometry-proofs/,"iPhone, Macintosh, Android, iPad","Educational, Math / logic, 3rd-person (Other)",WeWantToKnow AS,WeWantToKnow AS
96959,DragonBox: Numbers,2015-11-03,,https://www.mobygames.com/game/96959/dragonbox-numbers/,"Android, iPad, iPhone","Educational, Side view, Math / logic",WeWantToKnow AS,WeWantToKnow AS
45594,Eden's Quest: The Hunt for Akua,2010-03-05,,https://www.mobygames.com/game/45594/edens-quest-the-hunt-for-akua/,"Windows, Macintosh, iPad","Adventure, Educational, Math / logic, Puzzle, 3rd-person (Other), Point and select",OUAT Entertainment,"OUAT Entertainment, S.A.D. Software Vertriebs- und Produktions GmbH"
203936,Edufinet Kids,2021-10-03,,https://www.mobygames.com/game/203936/edufinet-kids/,"iPhone, iPad","Educational, Side view, Platform, 2D scrolling, Direct control",Teachlabs S.L.,Teachlabs S.L.
136213,Everything Machine,2015-08-18,,https://www.mobygames.com/game/136213/everything-machine/,"iPad, iPhone","Educational, Science, Puzzle, Fixed / flip-screen, Point and select",Tinybop Inc.,Tinybop Inc.
99986,Executive Command,2016-11-07,,https://www.mobygames.com/game/99986/executive-command/,"Android, iPad, Browser","Simulation, Educational, Sociology, Diagonal-down, Point and select, Contemporary, North America","Filament Games, LLC","iCivics, Inc."
94637,Explore Daniel Tiger's Neighborhood,2015-08-27,,https://www.mobygames.com/game/94637/explore-daniel-tigers-neighborhood/,"iPhone, iPad, Android","Educational, Pre-school / toddler, Fantasy, Licensed, 3rd-person (Other), Fixed / flip-screen, Mini-games, Point and select","Schell Games, LLC",PBS Kids
41667,EyePhonespy Dogs,2009-06-23,,https://www.mobygames.com/game/41667/eyephonespy-dogs/,iPhone,"Educational, Top-down, Reading / writing, Pre-school / toddler, Ecology / nature",Andrews UK Limited,Andrews UK Limited
128203,Fantorangen,2015-03-18,,https://www.mobygames.com/game/128203/fantorangen/,"iPhone, iPad, Android","Educational, Pre-school / toddler, Licensed, 3rd-person (Other), Fixed / flip-screen, Mini-games",Norsk Rikskringkasting AS,Norsk Rikskringkasting AS
176060,Farm Quest,2013-05-01,,https://www.mobygames.com/game/176060/farm-quest/,"iPad, iPhone, Nintendo Switch","Adventure, Educational, Side view, Pre-school / toddler, Hidden object, Puzzle, Fixed / flip-screen, Point and select",Intermediaware,"Asylum Square Interactive GmbH, Intermediaware"
227630,Farmer Pete,2010-09-27,,https://www.mobygames.com/game/227630/farmer-pete/,"iPad, iPhone","Educational, Math / logic, Licensed",Kaio Interactive LLC,Kaio Interactive LLC
129970,Fiete Cars,2017-03-01,,https://www.mobygames.com/game/129970/fiete-cars/,"iPhone, iPad, Android","Racing / Driving, Educational, Side view, Pre-school / toddler, Tricks / stunts, City building / construction simulation",Ahoiii Entertainment UG,Ahoiii Entertainment UG
124742,Fiete Choice,2015-04-29,,https://www.mobygames.com/game/124742/fiete-choice/,"iPad, Android, iPhone","Educational, Side view, Pre-school / toddler, Mental training, 2D scrolling, Point and select",Ahoiii Entertainment UG,Ahoiii Entertainment UG
124740,Fiete Farm,2014-10-01,,https://www.mobygames.com/game/124740/fiete-farm/,"iPhone, iPad, Android","Adventure, Educational, Ecology / nature, Mini-games, Graphic adventure",Ahoiii Entertainment UG,Ahoiii Entertainment UG
124728,Fiete Islands,2012-12-18,,https://www.mobygames.com/game/124728/fiete-islands/,"Android, iPad, iPhone","Adventure, Educational, Pre-school / toddler, Puzzle, Mini-games, Graphic adventure, Point and select, Europe",Ahoiii Entertainment UG,Ahoiii Entertainment UG
129968,Fiete KinderZoo,2016-10-17,,https://www.mobygames.com/game/129968/fiete-kinderzoo/,"iPad, Android, iPhone","Educational, Pre-school / toddler, Ecology / nature, Fixed / flip-screen, Point and select",Ahoiii Entertainment UG,Ahoiii Entertainment UG
124731,Fiete Match,2013-09-12,,https://www.mobygames.com/game/124731/fiete-match/,"iPad, Android, iPhone","Educational, Board game, Pre-school / toddler, Diagonal-down, Fixed / flip-screen, Point and select, Europe",Ahoiii Entertainment UG,Ahoiii Entertainment UG
128056,Fiete Math,2016-02-25,,https://www.mobygames.com/game/128056/fiete-math/,"Android, iPad, iPhone","Educational, Math / logic, Fantasy, 3rd-person (Other), Fixed / flip-screen",Ahoiii Entertainment UG,Ahoiii Entertainment UG
97160,Fiete Puzzle,2017-07-19,,https://www.mobygames.com/game/97160/fiete-puzzle/,"iPhone, iPad, Android","Educational, Side view, Pre-school / toddler, Fixed / flip-screen",Ahoiii Entertainment UG,Ahoiii Entertainment UG
129973,Fiete Quiztime,2017-09-27,,https://www.mobygames.com/game/129973/fiete-quiztime/,"iPhone, iPad","Educational, Game show / trivia / quiz, Fixed / flip-screen, Menu structures",Ahoiii Entertainment UG,Ahoiii Entertainment UG
128058,Fiete Sports,2016-07-28,,https://www.mobygames.com/game/128058/fiete-sports/,"iPhone, Android, iPad","Educational, Mini-games",Ahoiii Entertainment UG,Ahoiii Entertainment UG
128202,"Find Adventure, Alfie Atkins",2015-06-18,,https://www.mobygames.com/game/128202/find-adventure-alfie-atkins/,"iPad, iPhone","Educational, Pre-school / toddler, Licensed, Diagonal-down",Gro Play,Gro Play
104958,Fire Department for Toddlers and Kids,2014-01-12,,https://www.mobygames.com/game/104958/fire-department-for-toddlers-and-kids/,"iPhone, Android, iPad","Educational, Side view, Pre-school / toddler, Fixed / flip-screen, Direct control",winterworks GmbH,winterworks GmbH
83881,First Grade Learning Games,2012-06-06,,https://www.mobygames.com/game/83881/first-grade-learning-games/,"Macintosh, iPhone, iPad","Educational, Math / logic, Reading / writing",,
134903,Fixies Supermarket Shopping,2016-11-14,,https://www.mobygames.com/game/134903/fixies-supermarket-shopping/,"iPad, iPhone","Educational, Math / logic",DevGame OU,DevGame OU
48043,Flux Family Secrets: The Rabbit Hole (Collector's Edition),2010-06-10,,https://www.mobygames.com/game/48043/flux-family-secrets-the-rabbit-hole-collectors-edition/,"Windows, Macintosh, iPhone, iPad","Adventure, 1st-person, Sci-fi / futuristic, Educational, Puzzle elements, History, Hidden object","Skunk Studios, LLC.","Big Fish Games, Inc"
40212,Flux Family Secrets: The Ripple Effect,2009-04-11,,https://www.mobygames.com/game/40212/flux-family-secrets-the-ripple-effect/,"Windows, Macintosh, iPad, Android, iPhone","Adventure, 1st-person, Sci-fi / futuristic, Educational, Puzzle elements, History, Hidden object","Skunk Studios, LLC.","astragon Software GmbH, Big Fish Games, Inc"
115690,Follow JC Go,2018-10-15,,https://www.mobygames.com/game/115690/follow-jc-go/,"iPhone, Android","Educational, Role-playing (RPG), Religion",R1 Group Software Solutions,"Fundación Ramón Pané, Inc."
204925,Forced Abroad,2022-01-18,,https://www.mobygames.com/game/204925/forced-abroad/,"iPhone, Android","Adventure, Educational, Historical events, History, Visual novel, 3rd-person (Other), Fixed / flip-screen, Menu structures, World War II",Paintbucket Games UG,Paintbucket Games UG
90002,Fourth Grade Learning Games,2013-06-17,,https://www.mobygames.com/game/90002/fourth-grade-learning-games/,"iPhone, iPad","Educational, Math / logic, Reading / writing",,
67680,Freddi Fish's Fun House,2013-07-17,,https://www.mobygames.com/game/67680/freddi-fishs-fun-house/,"iPhone, iPad, Android","Educational, Puzzle elements, Reading / writing, Pre-school / toddler","Humongous Entertainment, Inc.","Tommo Inc., Humongous Entertainment, Inc."
124122,Fruit Ninja Academy: Math Master,2015-05-07,,https://www.mobygames.com/game/124122/fruit-ninja-academy-math-master/,"iPhone, Android, iPad","Action, 1st-person, Educational, Math / logic, Fixed / flip-screen","Krome Studios Pty Ltd., Halfbrick Studios Pty Ltd",Halfbrick Studios Pty Ltd
68525,Full Steam Ahead,2013-07-25,,https://www.mobygames.com/game/68525/full-steam-ahead/,"Browser, iPhone, iPad, Android","Simulation, Educational, Real-time, Side view, Naval / watercraft, History, 3rd-person (Other)",Aardman Animations Ltd.,ss Great Britain Trust
